"Task Name","Description","Execution Time","Status","Response Time","Responded By",""
"اطفاء نور اليافطه","الرجاء باطفاء نور اليافطه من لوحه مفاتيح الكهرباء","0:10","Pending","","",""
"مرور علي الاجهزه","الرجاء بالمرور علي الاجهزه لكامل المحل","0:30","Pending","","","PM"
"مرور نظافه","الرجاء بتنظيف منطقه الاجهزه و جمع الباسكتات","1:00","Pending","","","8"
"تسليم شيفت","الرجاء في بدئ تسليم شيفت للادمن التالي","2:00","Pending","","","2"
"تاكيد علي استلام الشيفت","الرجاء علي تاكيد فتح الشيفت icafe ","2:15","Pending","","","8"
"مرور علي الاجهزه","الرجاء بالمرور علي الاجهزه لكامل المحل ","2:20","Pending","","","2"
"اطفاء التكييفات","الرجاء المرور علي كامل المحل و اطفاء التكييفات و الاعتماد علي المراوح قدر الامكان","2:30","Pending","","",""
"اطفاء التكييفات","الرجاء المرور علي كامل المحل و اطفاء التكييفات و الاعتماد علي المراوح قدر الامكان","3:00","Pending","","","10"
"مرور علي الاجهزه","الرجاء بالمرور علي الاجهزه لكامل المحل ","4:00","Pending","","","6"
"اطفاء التكييفات","الرجاء المرور علي كامل المحل و اطفاء التكييفات و الاعتماد علي المراوح قدر الامكان","4:50","Pending","","",""
"مرور علي الاجهزه","الرجاء بالمرور علي الاجهزه لكامل المحل ","5:00","Pending","","","2"
"البدء في تاسكات النظافه ","الرجاء البدء في تاسكات النظافه المتعلقه بالشيفت","5:30","Pending","","",""
"مرور علي الاجهزه","الرجاء بالمرور علي الاجهزه لكامل المحل ","6:00","Pending","","",""
"ملئ الثلاجه ","الرجاء ملئ الثلاجه و تكمله النواقص","6:30","Pending","","",""
"مرور علي الزبائن","الرجاء بالمرور علي الزبائن و التنبيه بان المحل سيغلق الساعه الثامنه للصيانه","6:50","Pending","","",""
"مرور نظافه","مسح خشب و شاشات الالترا ","7:00","Pending","","",""
"تسليم شيفت","الرجاء في بدئ تسليم شيفت للادمن التالي,
تجاهل الرساله اذا كان اجمالي عدد الشيفتات 3","8:00","Pending","","",""
"قفل السيرفر","الرجاء قفل السيرفر فقط وسويتش حراز و جميع التكييفات","8:10","Pending","","",""
"تاكيد علي استلام الشيفت","الرجاء علي تاكيد فتح الشيفت icafe 
تجاهل الرساله اذا كان اجمالي عدد الشيفتات 3","8:15","Pending","","",""
"قفل الكيرو","الرجاء قفل الكيرو و جميع التكييفات","8:10","Pending","","",""
"البدء في تاسكات النظافه ","الرجاء البدء في تاسكات النظافه المتعلقه بالشيفت","8:30","Pending","","",""
"مرور نظافه","كنس و مسح المحل كله","9:00","Pending","","",""
"فتح السيرفر و الكيرو","الرجاء فتح السيرفر و الكيرو و السويتشات","10:00","Pending","","",""
"تسليم شيفت","الرجاء في بدئ تسليم شيفت للادمن التالي,
تجاهل الرساله اذا كان اجمالي عدد الشيفتات 4","10:10","Pending","","",""
"تاكيد علي استلام الشيفت","الرجاء علي تاكيد فتح الشيفت icafe 
تجاهل الرساله اذا كان اجمالي عدد الشيفتات 4","10:15","Pending","","",""
"ملئ الثلاجه ","الرجاء ملئ الثلاجه و تكمله النواقص","10:15","Pending","","",""
"تحديثات الالعاب","الرجاء القيام بتحديث الالعاب","12:00","Pending","","",""
"تحديثات الالعاب","الرجاء القيام بتحديث الالعاب","12:30","Pending","","",""
"مرور علي الاجهزه","الرجاء بالمرور علي الاجهزه لكامل المحل ","13:00","Pending","","",""
"مرور نظافه","الرجاء بتنظيف منطقه الاجهزه و جمع الباسكتات و مسح الارضيه","13:30","Pending","","",""
"تسليم شيفت","الرجاء في بدئ تسليم شيفت للادمن التالي,
تجاهل الرساله اذا كان اجمالي عدد الشيفتات 3","14:00","Pending","","",""
"تاكيد علي استلام الشيفت","الرجاء علي تاكيد فتح الشيفت icafe 
تجاهل الرساله اذا كان اجمالي عدد الشيفتات 3","14:30","Pending","","",""
"مرور نظافه","مسح خشب الفولت و شاشات الفولت","15:00","Pending","","",""
"مرور علي الاجهزه","الرجاء بالمرور علي الاجهزه لكامل المحل ","16:00","Pending","","",""
"مرور علي الاجهزه","الرجاء بالمرور علي الاجهزه لكامل المحل ","17:00","Pending","","",""
"مرور نظافه","الرجاء بتنظيف منطقه الاجهزه و جمع الباسكتات ","17:50","SentAndAwaitingResponse","8/13/2025, 8:00:41 PM","",""
"فتح اليافطه","الرجاء بفتح نور اليافطه من لوحه مفاتيح الكهرباء","17:55","SentAndAwaitingResponse","8/13/2025, 8:00:45 PM","",""
"تسليم شيفت","الرجاء في بدئ تسليم شيفت للادمن التالي,
تجاهل الرساله اذا كان اجمالي عدد الشيفتات 4","18:00","Sent","","",""
"تاكيد علي استلام الشيفت","الرجاء علي تاكيد فتح الشيفت icafe 
تجاهل الرساله اذا كان اجمالي عدد الشيفتات 4","18:10","Sent","","",""
"ملئ الثلاجه ","الرجاء ملئ الثلاجه و تكمله النواقص","18:30","Sent","","",""
"مرور نظافه","الرجاء بتنظيف منطقه الاجهزه و جمع الباسكتات ","19:00","Sent","","",""
"تسليم شيفت","الرجاء في بدئ تسليم شيفت للادمن التالي,
تجاهل الرساله اذا كان اجمالي عدد الشيفتات 3","20:00","Sent","","",""
"تاكيد علي استلام الشيفت","الرجاء علي تاكيد فتح الشيفت icafe 
تجاهل الرساله اذا كان اجمالي عدد الشيفتات 3","20:10","Sent","","",""
"تنضيف منطقه الكاشير","الرجاء بتنظيف منطقه الكاشير","21:00","SentAndAwaitingResponse","8/13/2025, 8:00:46 PM","",""
"مرور علي الاجهزه","الرجاء بالمرور علي الاجهزه لكامل المحل ","21:30","SentAndAwaitingResponse","8/13/2025, 8:00:49 PM","",""
"مرور نظافه","الرجاء بتنظيف منطقه الاجهزه و جمع الباسكتات ","22:00","SentAndAwaitingResponse","8/13/2025, 8:00:49 PM","",""
"مرور علي الاجهزه","الرجاء بالمرور علي الاجهزه لكامل المحل ","22:30","SentAndAwaitingResponse","8/13/2025, 8:00:49 PM","",""
"مرور نظافه","الرجاء بتنظيف منطقه الاجهزه و جمع الباسكتات ","23:00","Pending","","",""
"مرور علي الاجهزه","الرجاء بالمرور علي الاجهزه لكامل المحل ","23:30","Pending","","",""
"مرور نظافه","الرجاء بتنظيف منطقه الاجهزه و جمع الباسكتات و السجائر","12:00","Pending","","",""